asin,title,salesRank,price,category,numReviews
B000003TAW,Weezer (Blue Album),918,5,top_salesrank,465
B000001E58,Barry White : All-Time Greatest Hits,944,8.39,top_salesrank,144
B000002OZS,Sublime,948,8.39,top_salesrank,321
B00000J7JO,Californication,965,6.88,top_salesrank,526
B000001DZO,Gold: Greatest Hits,986,35,top_salesrank,597
B000028U0Y,At Folsom Prison,1018,9.99,top_salesrank,312
B00005Y1XY,Cars - Complete Greatest Hits,1020,14.63,top_salesrank,195
B000023VR6,Chronic 2001,1038,7.5,top_salesrank,520
B000G73U5Y,Definitive Collection,1043,8.39,top_salesrank,107
B0000DJE9R,Number Ones,1086,7.5,top_salesrank,249
B000FBGBPC,One X,1090,7.95,top_salesrank,214
B000002LFZ,Fleetwood Mac: Greatest Hits,1108,9,top_salesrank,262
B0026P3G12,I Dreamed A Dream,1108,27.52,top_salesrank,1926
B000059MEL,Discovery [Vinyl],1109,19.94,top_salesrank,617
B000002GK1,Badmotorfinger,1140,6.66,top_salesrank,163
B000002LQR,Blood Sugar Sex Magik,1164,10.89,top_salesrank,320
